"ET.estat";"i.id0";"i.name.no";"Datakilde";"Startar";"Frekvens (ar)";"Romlig opplosning";"ECT";"Egenskap";"Samsvar m/tilstand";"Ref.verdi";"i.description";"i.cpl";"i.comments.all"
"h: wet";"sk.03, vs.30";"Ellenberg F";"MDir";"2019";"1";"fylke/region";"A1";"af";"u";"mod";"The indicator is the vegetation mean Ellenberg score for the affinity of vascular plant species for moisture, weighted with the frequency of each species. This is a two-sided indicator where values both lower and higher than the reference value may indicate deviation from good ecological condition.";"";" ### d.unit: Hanno: at least for wetland and semi-natural systems, the indicator itself is not on ""Ellenberg scale"" but a scaled index value between 0 and 1 ## r.dir: Hanno: while the Ellenberg value is bimodal, the indicator is, strictly speaking, divided into two, with one scaled index value indicating ""too much moisture"" and the other ""too little moisture""; both of these have r.dir = ""p"""
"h: wet";"fj.14, vs.04";"Ellenberg L";"MDir";"2019";"1";"fylke/region";"B3";"af";"u";"mod";"The indicator is the vegetation mean Ellenberg score for the affinity of vascular plant species for light, weighted with the frequency of each species. This is a two-sided indicator where values both lower and higher than the reference value may indicate deviation from good ecological condition.";"d";" ### i.st: Currently elaborated for mountains (each basic type in NiN's main types T3, T7, T14, T22) ## d.unit: Hanno: at least for wetland and semi-natural systems, the indicator itself is not on ""Ellenberg scale"" but a scaled index value between 0 and 1 ## ect.p: Balint: This is intentionally B3.  It is true that there are slight geographical differences in the amount of (total) light available to the vegetation (due to climatic and astronomical factors). But this indicator does not measure that one. Instead it measures how much light the ""focal layer"" of vegetation (typically the herbaceous layer) gets due to the closedness of canopy above it. Thus this is B3. ## r.dir: Hanno: while the Ellenberg value is bimodal, the indicator is, strictly speaking, divided into two, with one scaled index value indicating ""too much light"" and the other ""too little light""; both of these have r.dir = ""p"""
"h: wet";"vs.41";"Ellenberg R";"NINA (Joachim Töpper)";"2019";"1";"fylke/region";"A2";"fg, bm";"u";"mod";"The indicator is the vegetation mean Ellenberg score for the affinity of vascular plant species for acidity, weighted with the frequency of each species. This is a two-sided indicator where values both lower and higher than the reference value may indicate deviation from good ecological condition.";"xd";" ### d.unit: Hanno: the indicator is not on ""Ellenberg scale"" but a scaled index value between 0 and 1 ## r.dir: Hanno:  while the Ellenberg value is bidirectional, the indicator is, strictly speaking, divided into two, with one scaled index value indicating ""too much acidity"" and the other ""too little acidity""; both of these have r.dir = ""p"""
"h: wet";"fj.15";"Vegetasjonens varmekrav";"MDir";"2019";"1";"fylke/region";"A1";"af";"n";"mod";"The indicator is the relative cumulative cover of plant species with heat requirements above a specified threshold, based on cover data of all occurring vascular plant species collected in the ANO programme from selected NiN nature types (T3, T7, T14, T22), and values for heat requirements for Swedish plants from Tyler et al. (2021).";"xd";" ### i.st: Currently elaborated for mountains (each basic type in NiN's main types T3, T7, T14, T22) ## r.dir: Erik: this is a climate response metric with a unilateral (negative) interpretation, assuming that this a clear climate response and the current trends can go in one direction only"
"h: wet";"sk.02, fj.13, vs.03";"Ellenberg N";"MDir";"2019";"1";"fylke/region";"A2";"pr, af";"u";"mod";"The indicator is the vegetation mean Ellenberg score for the affinity of vascular plant species for nitrogen, weighted with the frequency of each species. This is a two-sided indicator where values both lower and higher than the reference value may indicate deviation from good ecological condition.";"";"May be correlated with NDVI (productivity). ### d.unit: Hanno: at least for wetland and semi-natural systems, the indicator itself is not on ""Ellenberg scale"" but a scaled index value between 0 and 1 ## d.startdate: ANO data so far only cover samples from 2019+2020 for forests and 2019-2021 for mountains; the first full cycle of data collection will cover 2019-2023; thereafter repeated in 5-yr cycles. This pertains to all ANO-based indicators. ## d.temp.res: the full ANO update cycle is 5 years (return period to each sampling site), shorter periods may be possible at the expense of accuracy & spatial/thematic resolution (for a subset of sites sampled in the period) ## d.spat.res: recommendations  ## r.dir: Hanno: while the Ellenberg value is bimodal, the indicator is, strictly speaking, divided into two, with one scaled index value indicating ""too much acidity"" and the other ""too little acidity""; both of these have r.dir = ""p"" ## r.opt: Reference (and limit) levels are calculated as an abundance-weighted average indicator values for each the basic types in NiN based on the generalised species lists of each type (see Nybø et al. 2018 and Töpper et al. 2018 for details). These lists describe the expected species composition of each NiN type in its natural (reference) state (Halvorsen et al. 2015), and is calculated for each NIN type by multiplying species’ abundance values with its indicator value, adding these values and then dividing by the sum of the amounts. Bootstrapping was used to calculate the potential uncertainty in generalised species lists: each species list was resampled 10 000 times, and in each round, 1/3 of the species in the species list was randomly sampled. Dominant key species in the ecosystem, i.e., species with abundance values ≥ 6 on a scale from 1-6 were included in each selection. The average indicator value for each bootstrap was calculated, and a density distribution across indicator values was produced as a reference distribution. See Töpper et al. 2018 for more details. The following changes were made to the methodology: Re-sampling 1/3 of the species in the species list instead of 2/3, based on species richness documented in ANO. Using mandatory species with abundance value ≥ 6 instead of ≥ 4 in every sample. The reference distribution is unique to each mapping unit at a scale of 1:5000 in T4 non-wetland forest and T30 riparian forest. | The reference value is reported as the median of the reference distribution."
"h: wet";"fj.02";"Rein";"MDir & NINA";"2017";"1";"ingen (nasj)";"B1a";"fb, fg, fs";"u";"mod";"The indicator is given as the density of wild or domestic reindeer for all defined reindeer areas based on the total populations within these areas and the size of the areas.";"o.";"The combination of an endangered wild animal and a domestic animal in a single indicator may make the interpretation of the values challenging. ### i.cpl: The combination of an endangered wild animal and a domestic animal in a single indicator may make the interpretation of the values challenging ## n51: just mountain ## d.temp.res: Annually for domestic reindeer, sporadically for wild reindeer. ## d.spat.res: reindeer areas  ## r.opt: The reference value is an estimated density of wild reindeer for all mountain areas under the reference condition. This reference density is based on the empirical relationship between the density of the management targets for the wild reindeer populations (Kjørstad et al. 2017) and the variation in the terrain in wild reindeer areas (measured by the Terrain Ruggedness Index (TRI), Riley et al. 1999), given by the formula Reference density = 1.0759 * EXP (-0.001 * TRI). This relationship is assumed to apply to all mountain areas, including domestic reindeer areas and mountain areas currently without reindeer. The total reference population for wild reindeer can be calculated given the area of the mountain areas and the areas' average TRI values. In addition, we have assumed that natural populations of large predators will lead to a somewhat lower density in the reference condition than is specified for the management targets given in Kjørstad et al. (2017). The reference density given by the formula above is therefore reduced by 25%. This is a two-sided indicator, where both low and high reindeer populations can indicate a deviation from the reference condition. Lower and upper limit values have therefore been determined for the indicator, given as 60% and 200% of the reference value, respectively. An asymmetric scaling function is based on the assumption that lower densities have greater effects on the ecosystem than higher densities."
"h: wet";"vs.05, vs.28";"Gjengroing";"NINA (Zander Venter)";"2010";"Inf";"~10 m";"B2";"fs";"n";"mdc";"The indicator measures encroachment (tree regrowth) by quantifying vegetation height of (previously) open ecosystems using remote sensing";"e.";" ### i.cpl: The presence of shrubs and trees is an ET-defining chararcteristic, which leads to interference with extent accounts (i.e. encroachment also leads to ecosystem conversion) ## d.temp.res: Hanno: It is uncertain whether the current implementation (which uses LiDAR data from 2010 to 2021) will be repeated at all. This would require that LiDAR is repeated. Alternatively, different data sources would have to be used in the future (satellite data). ## d.spat.res: Hanno: NiN mapping units are used, which have a precision of 5 m to 50 m"
"h: wet";"sk.01";"Normalisert årlig maksimal NDVI";"NASA*";"2000";"1";"~100 m";"B2";"pr";"u";"mdc";"The indicator is the deviation of the annual maximum NDVI value per MODIS pixel from a modelled ""reference value"" for that pixel. This is a two-sided indicator where values both lower and higher than the reference value may indicate degraded ecosystem condition.";"";"The normalisation (using pixelwise modelled reference states) as explained here is optimised for forests -- adaptation to other ETs might require further research ### d.temp.aggr: the instantaneous NDVI values definitely need some ""intra-annual aggregation"" to get a meaningful EC variable  IndiPri talks about ""annual max values""  TODO: explore & discuss what is being / can be done here ## r.opt: The raw NDVI values are ""pre-standardised"", using modelled NDVI values based on predicted PNV (Potential Natural Vegetation) forest subtypes (Hengl et al. 2018). Protected areas across Norway are used to define a reference NDVI state for each subtype, and data for NDVI (response) and climatic + edaphic (explanatory) variables in reference areas are used to train a Random Forest regression model. This model is used to predict potential NDVI (pNDVI) for each subtype outside of protected areas. The reference condition is then defined via the difference between the pNDVI and the observed NDVI (dNDVI). See https://github.com/NINAnor/pNDVI-nature-index for more details on data inputs.   The reference value is equivalent to the median dNDVI in protected areas of the region of interest (county or municipality)."
"h: wet";"fj.01";"NDVI flerårig trend";"NASA*";"2000";"1";"~100 m";"B2";"pr, fd";"u";"zer";"The indicator is the rate of increase in mean NDVI values per pixel for the growing season (June-Sep) over the period 2000-2019";"t";"This indicator does not fully comply with SEEA EA EC accounts (temporal reference: the value of the indicator should pertain (only) to the reference year/period) ### i.st: status is ""3"" for fjell,  but the disaggreagation to the relevant ETs needs better ET maps and further work ## r.dir: NIBIO: any regression deviation from 0 is negativ ## r.opt: Reference value set to 0, i.e. no systematic change in NDVI over time"
"h: wet";"vs.64";"Slitasje";"NINA (Anders Kolstad)";"2019";"5";"fylke/region";"B3";"pr";"n";"zer";"The indicator represents anthropogenic damage or disturbance to soils and vegetation, typically from recreational activities and off-road vehicles.";"";"The indicator is based on the NiN variables 7TK, PRTK, 7SE and 7SL. Not decided whether this will be included in the final set of indicators. ### n22: NIBIO: Also relevant for n22 due to excessive livestock trampling BC: OK; but do we have data from that? (from ANO, GUK... or 3Q?)"
"h: wet";"fj.11, vs.02";"Konnektivitet";"Statens kartverk*/NIBIO";"2021";"Inf";"kommune";"C1";"lm";"p";"mod";"The indicator is the mean distance from the centre of each mountain area to the nearest infrastructure object (roads, power lines, buildings etc), agricultural area or forest area";"qo.";"There are several problems with this variable: it has several unfavourable mathematical properties (numerical instabilities: big response to small changes, number of patches to average may also change), it cannot be linked to the relevant subtypes of mountain ETs, etc. In addition there are problems with the name, and similar (pressure-like) variables are discuraged by SEEA EA.  | Possibly correlated with the indicator of area without technical intervention. ### i.cpl: There are several problems with this variable: it has several unfavourable mathematical properties (numerical instabilities: big response to small changes, number of patches to average may also change), it cannot be linked to the relevant subtypes of mountain ETs, etc. In addition there are problems with the name, and similar (pressure-like) variables are discuraged by SEEA EA.   ## i.st: status is ""1"" for fjell, but the disaggreagation to the relevant ETs needs better ET maps and further work ## n51: NIBIO: N50 does not distiguish between various open ecosystems; data from AR5/AR50 wil be needed, but does not distingush well between subtypes (not at all between natural/semi-natural); relevance for EC of n51-n55 should be clarified ## n71: Hanno: not applied to or tested in water, as far as i know (HS) ## d.temp.res: irregular (currently snapshot) ## r.opt: The reference value is the average distance from the mountain areas to the nearest forest polygon, where the mountain areas are not divided or affected by infrastructure. The limit value is set at 60% of the reference value."
"h: wet";"sk.13, fj.10, vs.02";"Areal uten tekniske inngrep";"MDir*/NIBIO";"1988";"5";"kommune";"C1";"lm";"p";"zer";"The indicator is the proportion of the area of the given ET that is at least 1 km away from major technical infrastructure";"";"NIBIO: may be seen as a reciprocal pressure indicator; INON + N50 does not distinguish between various open ecosystems; not defined for aquatic ecosystems | BC: why not? IMHO if this is a ""reverse pressure"" then it can very well be calculated for freshwater ETs, too. (However: the way how this indicator is calculated could probably be improved, and (as this discussion also suggests) its name could also be improved (to something more intuitive / less misleading).) ((E.g. to ""share (of area) outside disturbance zone of major technical infrastructure"", or even ""mean distance to nearest technical infrastructure"")) ### n51: INON + N50 does not distiguish between various open ecosystems; data from AR5/AR50 wil be needed, but does not distingush well between subtypes (not at all between natural/semi-natural) ## d.temp.res: used to be 10 ## r.opt: A reference state, defined as intact nature, entails a complete absence of modern infrastructure such as roads, railways, power lines, buildings etc. | The reference value of the indicator assumes that the entire area (100%) of the ecosystem is <1 km from infrastructure. Larger contiguous natural areas are important as habitats and migration corridors for species, especially those that are adapted to large areas that are in or close to their natural state, as well as species that are particularly vulnerable to edge effects or other disturbances. Intact nature is also important for nature's ability to adapt to climate change, e.g., infrastructure creates additional barriers for the movement of species to areas with more suitable climates. However, the importance of intact nature for biodiversity will also depend on other impacts on the ecosystem. How much the proportion of intact nature can be reduced before there are negative effects on ecological condition depends on several factors, e.g., how large the area is in the first place, how the loss of intact nature is distributed, and the natural degree of fragmentation for the relevant ecosystem in the region. Various studies indicate that fragmentation that reduces the original area down to 20-40% will have a greater negative effect on affected species than a reduction in habitat alone would suggest. If we assume that this represents a boundary between moderate and poor condition, and that the relationship between the indicator and ecological condition is linear down to this boundary, the limit value for good condition can be set to 60% of the reference value. Also see the reasoning in chapter 3.2 and 4.1 in Nybø et al. 2018."
"h: wet";"nb.16";"Funksjonelle plantegrupper";"Mdir/NINA";"2019";"5";"fylke/region";"B3";"fg";"u";"mod";"Exact definition and metric to be decided";"d";"metric and ref.level to be decided ### i.description: The indicandum is"
"j: river";"fj.12, sk.12, vs.06";"Naturindeks (modifisert)";"MDir & NINA";"1990";"5";"fylke/region";"xx";"bm";"p";"na";"These indicators are (possibly modified) ecosystem type specific sub-indices of the Norwegian Nature Index 2020";"a";"This indicator does not fully comply with SEEA EA EC accounts (the use of pre-aggregated indices is discouraged) ### d.temp.res: was 10 yrs before 2010 ## i.etlink: not applicable (multiple)  ## r.opt: not applicable: each component is scaled according to their own ref & limit values -- thus the aggregated index does not need any further rescaling."
"j: river";"QMIN";"Minimum 7-døgns middelvannføring, sommer og vinter";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A1";"af";"p";"exp";"There are two separate indicators that cover the water flow regime in summer and winter, respectively. The minimum 7-day average flow for a regulated river is compared with natural flow (river without water-flow regulations). Supporting element - hydromorphology.";"n";"Scaled value (EQR) or normalized scaled value (nEQR). Index value=EQR ### d.temp.res: May vary from 1 to 6 (12?) for time-series datasets, or even continuous mearsurements  ## d.spat.res: Water-bodies in rivers (streches of approx 5 km)"
"j: river";"P-TOT";"Totalt fosfor (Tot-P)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"mdc";"All phosphorus nutrients. Physico-chemical supporting element for eutrophication. One of three parameters used for assessment of eutrophication in lakes & rivers. Reference-values and class-boundaries based on the correlation with phytoplankton biomass (coastal case: Molvær et al. 1997).";"";"True index value in Vannmiljø, can calculate EQR and nEQR ### d.temp.res: May vary from 1 to 6 (12?) for time-series datasets. Assessment based on monthly sampling occations during years with monitoring.  ## d.spat.res: Water-bodies in rivers (streches of approx 5 km); lakes; coastal water bodies  ## r.opt: Reference-values and class-boundaries based on the correlation with phytoplankton biomass (coastal case: Molvær et al. 1997)"
"j: river";"N-TOT";"Totalt nitrogen (Tot-N)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"mdc";"All nitrogen nutrients. Physico-chemical supporting element for eutrophication. Reference-values and class-boundaries based on the correlation with phytoplankton biomass. One of three parameters used for assessment of eutrophication in lakes & rivers.";"";"Only applicable for rivers/lakes where P:N relationship indicate N-limitation. True index value in Vannmiljø, can calculate EQR and nEQR. ### d.temp.res: May vary from 1 to 6 (12?) for time-series datasets. Assessment based on one sampling occation during years with monitoring.  ## d.spat.res: Water-bodies in rivers (streches of approx 5 km); lakes; coastal water bodies"
"j: river";"N-NH4, N-NH3";"Ammoniakk og ammonium";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"mdc";"Physico-chemical supporting element, two different parmeters. For coastal only NH4 is used in the WFD with reference-values from Molvær et al (1997).";"";"True index value in Vannmiljø, can calculate EQR and nEQR ### d.temp.res: May vary from 1 to 6 (12?) for time-series datasets. Assessment based on monthly sampling occations during years with monitoring.  ## d.spat.res: Water-bodies in rivers (streches of approx 5 km), respectively Lakes ## r.opt: AKS: Reference-values and class-boundaries based on correlation with ammonia-sensitive fish species (critical limits). Ammonia and ammonium may contribute to the eutrophication of freshwaters and coastal waters and are toxic to fish (and other organisms?). Tolerance limits have been set for ammonia/ammonium based on the response of fish. These tolerance limits are used to determine what is respectively very good (i,e the lower boundary for reference condition) and very poor condition. Interpolation has been used to distinguish between good and not good enough (moderate or worse) condition and also for setting the reference value."
"j: river";"O2, O-METN";"Oksygenkonsentrasjon";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"p";"exp";"Oxygen in deepwater. Physico-chemical supporting element for eutrophication/organic load for eutrophication/organic load, that can be measured in two different ways (two parmeters). Reference-values and class-boundaries in coastal waters are described by Diaz & Rosenberg (1995) and Kirkerud (1998). Measurements must be carried out in the period one expect the lowest concentrations, but should be done monthly until there is enough information on when to do the sampling. Deeper areas are selected for sampling, but it is important that it is linked to the sampling of the biological quality element ""Soft bottom fauna"".";"";"True index value in Vannmiljø, can calculate EQR and nEQR ### d.temp.res: May vary from 1 to 6 (12?) for time-series datasets, or even continuous mearsurements  ## d.spat.res: Water-bodies in rivers (streches of approx 5 km); lakes; coastal water bodies ## r.opt: MGW: based on literature review ...see Diaz & Rosenberg (1995) and Kirkerud (1998)"
"j: river";"PH";"pH";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"p";"mdc";"Physico-chemical supporting element for acidification.  Reference-value and class-boundaries based on the correlation with acid-sensitive invertbrates. One of three parameters used for assessment of acidification (status is based on mean nEQR if all indices are calculated).";"";"True index value in Vannmiljø, can calculate EQR and nEQR ### d.temp.res: May vary from 1 to 6 (12?) for time-series datasets, or even continuous mearsurements  ## d.spat.res: Water-bodies in rivers (streches of approx 5 km), respectively Lakes"
"j: river";"LAL";"Potensielt gift aluminium (LAl, UM-Al)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"mdc";"Physico-chemical supporting element for acidification. Reference-value and class-boundaries based on the correlation with brown trout in lakes/non-anadromous rivers and atlantic salmon in anadromous rivers (critical limits). One of three parameters used for assessment of acidification (status is based on mean nEQR if all indices are calculated).";"";"True index value in Vannmiljø, can calculate EQR and nEQR ### d.temp.res: May vary from 1 to 6 (12?) for time-series datasets, or even continuous mearsurements  ## d.spat.res: Water-bodies in rivers (streches of approx 5 km), respectively Lakes"
"j: river";"ANC";"Vannets syrenøytraliserende kapasitet (ANC)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"p";"mdc";"Physico-chemical supporting element for acidification.  Reference-value and class-boundaries based on the correlation with acid-sensitive invertbrates. One of three parameters used for assessment of acidification (status is based on mean nEQR if all indices are calculated).";"";"True index value in Vannmiljø, can calculate EQR and nEQR ### d.temp.res: May vary from 1 to 6 (12?) for time-series datasets  ## d.spat.res: Water-bodies in rivers (streches of approx 5 km), respectively Lakes"
"j: river";"AIP";"Forsuringsindeks for begroingsalger i elv (AIP)";"NIVA (Suzanne Schneider) + Vannmiljø";;"1";"annet";"A2";"bm";"n";"mdc";"The indicator includes an assessment of the taxonomic composition, covering most groups of benthic algae (Chyanophyceae, Chlorophyceae, Radophyceae, Phaeophyceae, Chrysophyceae and Xanthophyceae - Bacillariophyceae is not included); mainly identified to species level: this is based on the indicator value for each taxon (increasing value with increasing tolerance to acidification, where tolerance is based on dose-response relationship between each taxon and acidification (pH-optimum))";"";"May be reported as true parameter value or scaled value (EQR) or normalised scaled values (nEQR) ### i.host: Most QA data on this and other indicators based on freshwater periphyton/benthic algae are from NIVA but Vannmiljø also includes data from other dataprovidors ## d.temp.res: May vary from 2 to 6 (12?) for time-series datasets. More data available as ""single time"" datasets. ## d.spat.res: Water-bodies in rivers (streches of approx 5 km)"
"j: river";"PIT";"Eutrofieringsindeks for begroingsalger i elv (PIT)";"NIVA (Suzanne Schneider) + Vannmiljø";;"1";"annet";"A2";"bm";"n";"mdc";"The indicator includes an assessment of the taxonomic composition, covering most groups of benthic algae (Chyanophyceae, Chlorophyceae, Radophyceae, Phaeophyceae, Chrysophyceae and Xanthophyceae - Bacillariophyceae is not included), mainly identified to species level: this is based on the indicator value for each taxon (increasing value with increasing tolerance to eutrophication/nutrient input, where tolerance is based on dose-response relationship between each taxon and total phosporous (TP-optimum))";"";"May be reported as true parameter value or scaled value (EQR) or normalised scaled values (nEQR) ### i.host: Most QA data on this and other indicators based on freshwater periphyton/benthic algae are from NIVA but Vannmiljø also includes data from other dataprovidors ## d.temp.res: May vary from 2 to 6 (12?) for time-series datasets. More data available as ""single time"" datasets. ## d.spat.res: Water-bodies in rivers (streches of approx 5 km)"
"j: river";"ASPT";"Average Score Per Taxon - litorale bunndyr i elver (ASPT)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"bm";"p";"mdc";"The indicator includes an assessment of the taxonomic composition, covering most groups of benthic macroinvertebrates identified to a higher taxonomic level (family or class; specified for each taxonomic group): this is based on the indicator value for each taxon (decreasing value with increasing tolerance to eutrophication/organic pollution, where tolerance is based on dose-response relationship between each taxon and eutrophication measured as TP or organic pollution measured as DOC?). ASPT is calculated as the mean of scores for all indicator taxa in the sample";"";"True index value in Vannmiljø, can calculate EQR and nEQR ### d.temp.res: May vary from 1 to 6 (12?) for time-series datasets.  ## d.spat.res: Water-bodies in rivers (streches of approx 5 km)"
"j: river";"RAMI";"Forsuringsindeks for litorale bunndyr i elver (RAMI)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"bm";"p";"mdc";"The indicator includes an assessment of taxonomic composition and relative abundance, covering the full macroinvertebrate community, identified mainly to species or genus level: this is based on the indicator value for each taxon (decreasing value with increasing tolerance to acidification, where tolerance is based on dose-response relationship between each taxon and acidification (pH-optimum and range)), and the relative abundance (counts) of each taxon in a sample.";"";"AKS: RAMI and LAMI is based on information on indicator taxa and their sensitivity to acidification as used in Raddum-1/Raddum-2 but also other acidification indices (macroinvertebrate-based) used in Northern Europe. RAMI and Raddum-2 (rivers) is positively correlated with relatively high concentration. LAMI and Raddum-1 (lakes) show a weak but positive correlation. Non of the indicators used for lakes (MultiClear, Raddum-1, LAMI) works very well along the whole acidification gradient. In the classification of ecological status we use all three indicators (if available) and calculate the mean (nEQR) value. Raddum-2 and RAMI generally works better - RAMI is more sensitive under weak acidification whereas Raddum-2 works better to differentiate between levels of moderate and strong acidification. | True index value in Vannmiljø, can calculate EQR and nEQR ### d.temp.res: May vary from 1 to 6 (12?) for time-series datasets.  ## d.spat.res: Water-bodies in rivers (streches of approx 5 km)"
"j: river";"Raddum-2";"Litorale bunndyr i elver (Raddum forsuringsindeks-2)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"bm";"p";"mdc";"The indicator includes an assessment of taxonomic composition and relative abundance, covering the full macroinvertebrate community, mainly identified to species or genus level: this is based on the indicator value for each taxon (decreasing value with increasing tolerance to acidification, where tolerance is based on dose-response relationship between each taxon and acidification (pH-optimum), grouped into 4 tolerance classes) and the relative abundance of the main acid sentive taxa group (the abundance of very acid-sensitive Ephemeroptera realtive to the abundance of acid-tolerant Plecoptera).";"";"AKS: RAMI and LAMI is based on information on indicator taxa and their sensitivity to acidification as used in Raddum-1/Raddum-2 but also other acidification indices (macroinvertebrate-based) used in Northern Europe. RAMI and Raddum-2 (rivers) is positively correlated with relatively high concentration. LAMI and Raddum-1 (lakes) show a weak but positive correlation. Non of the indicators used for lakes (MultiClear, Raddum-1, LAMI) works very well along the whole acidification gradient. In the classification of ecological status we use all three indicators (if available) and calculate the mean (nEQR) value. Raddum-2 and RAMI generally works better - RAMI is more sensitive under weak acidification whereas Raddum-2 works better to differentiate between levels of moderate and strong acidification. | True index value in Vannmiljø, can calculate EQR and nEQR ### d.temp.res: May vary from 1 to 6 (12?) for time-series datasets.  ## d.spat.res: Water-bodies in rivers (streches of approx 5 km)"
"j: river";"EMANTLLE";"Elvemusling (Margaritifera margaritifera) - terskelindikator i elv";"NINA  + Vannmiljø";;"1";"annet";"B1a";"bm";"??";"exp";"The indicator includes an assessment of the abundances and size distribution of river pearl mussel (Margaritifera margaritiferea). The indicator is used to differenciate between classes of ecological status based on the total abundance of mussels and the relative occurance of three size categories. Good ecological conditions require that the size distribution indicate good recruitment of mussels.";"a";"??Ecological status category set on basis of a combination of three different parameters. Each of these are given as % occurance ### d.spat.res: Water-bodies in rivers (streches of approx 5 km) ## ect.no: or fs?"
"j: river";"HBI2";"Heterotrof begroingsindeks for elv (HBI2)";"NIVA  + Vannmiljø";;"1";"annet";"A2";"bm";"n";"mdc";"A measure of loads of organic matter in rivers, measured as heterotrophic growth based on the occurance of the fungus Leptomitus lacteus and/or the bacteria Sphaerotilus natans («lammehaler»). The HBI2 is calculated from a combination of measured thickness (in cm) and the the degree of coverage (in %) of heterotrophic growth.";"";"May be reported as true parameter value or scaled value (EQR) or normalised scaled values (nEQR) ### d.temp.res: May vary from 2 to 6 (12?) for time-series datasets. More data available as ""single time"" datasets. ## d.spat.res: Water-bodies in rivers (streches of approx 5 km)"
"j: river";"NEFI";"Norsk endringsindeks for fisk - elver og innsjøer (NEFI)";"NINA  + Vannmiljø";;"1";"annet";"B1b";"bm";"p";"mdc";"The indicator includes an assessment of taxonomic composition and abundances, covering the full fish community: this is based on changes in dominance (devided in three categories - dominant, common and rare), calculated as number of lost species and number of species with reduced dominance.";"t";"True index value in Vannmiljø = nEQR ### d.temp.res: May vary from 1 to 6 (12?) for time-series datasets.  ## d.spat.res: Water-bodies in rivers (streches of approx 5 km), respectively Lakes"
"j: river";"FIBESTE";"Bestandsendring fisk";"NINA  + Vannmiljø";;"1";"annet";"B1a";"bm";"n";"mdc";"A measure of the reduction in abundances of native fish species measured as shift in dominance category (rare, common, dominant), where reduction in dominant species have a larger influence on the indicator value than reduction in common or rare species.";"t";"True index value in Vannmiljø. Can calculate EQR and nEQR ### d.temp.res: May vary from 1 to 6 (12?) for time-series datasets.  ## d.spat.res: Water-bodies in rivers (streches of approx 5 km), respectively Lakes"
"j: river";"Cpue_juveniles";"Tetthet av ungfisk i elver basert på laks og ørret (Cpue_juveniles)";"NINA  + Vannmiljø";;"1";"annet";"B1a";"bm";"p";"oth";"The indicator includes an assessment of the abundances of salmon (Salmo salaris), brown trout (Salmo trutta) and arctic charr (Salvelinus alpinus) based on numbers of juveniles per unit effort (100 m2 river habitat). The Cpue is compared to a ""reference value"" (ie. boundary high/good ecological state) based on a combination of migration pattern (anadromous, stationary), coexistence of fish species (allopatric, sympatric) and quality of fish habitats (very good, suitable and not suitable).";"";"True index value or normalized scaled value (nEQR) ### d.temp.res: May vary from 1 to 6 (12?) for time-series datasets.  ## d.spat.res: Water-bodies in rivers (streches of approx 5 km) ## r.opt: Mean reference value not set but high/good boundary (minimum reference value) set by expert judgement. Not possible to calculate EQR but nEQR can be calculated for all status classes except for high status (reference state)."
"j: river";"fragmenteringsgrad";"Fragmenteringsgrad (FG)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"C1";"lm";"n";"exp";"A measure of longitudinal connectivity in a river. Require an assessment of man-made barriers to fish-migrations. The indicator is based on the number of barriers and the total lenght of the river. Supporting element - hydromorphology.";"";"Scaled value (EQR) or normalized scaled value (nEQR). Index value=inverse(EQR) ### d.temp.res: May vary from 1 to 6 (12?) for time-series datasets, or even continuous mearsurements  ## d.spat.res: Water-bodies in rivers (streches of approx 5 km)"
"j: river";"barriereeffekt";"Barriereeffekt (BE)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"C1";"lm";"n";"exp";"A measure of longitudinal connectivity in a river. Require an assessment of man-made barriers to fish-migrations. The indicator is calculated as the relative length of a river that are suitable for fish-spawning. Calculated as the length of the river stretch downstream the first physical barrier divided by the total length of the river (upstream a lake or a coastal fjord). Supporting element - hydromorphology.";"";"Scaled value (EQR) or normalized scaled value (nEQR). Index value=inverse(EQR) | BC: May not be C1 (to be explored better) ### i.description: AKS: Length of river stretch downstream the first physical barrier in the river compare to the total river lengh (upstream a lake or a coastal fjord). ## d.temp.res: May vary from 1 to 6 (12?) for time-series datasets, or even continuous mearsurements  ## d.spat.res: Water-bodies in rivers (streches of approx 5 km)"
