"ch43tab";"i.id0";"ET";"i.name.no";"Status";"Datakilde";"Startar";"Frekvens (ar)";"Romlig opplosning";"ECT";"ECT2";"Egenskap";"Dir";"Ref.verdi";"Merknad";"i.description";"i.cpl.issues";"i.comments.all"
"for";"sk.13, fj.10";"";"Areal uten tekniske inngrep";"3";"MDir*/NIBIO";"1988";"5";"kommune";"C1";"C1";"lm";"p";"abs";"";"The indicator is the proportion of the area of the given ET that is at least 1 km away from major technical infrastructure";"";"NIBIO: may be seen as a reciprocal pressure indicator; INON + N50 does not distinguish between various open ecosystems; not defined for aquatic ecosystems | BC: why not? IMHO if this is a ""reverse pressure"" then it can very well be calculated for freshwater ETs, too. (However: the way how this indicator is calculated could probably be improved, and (as this discussion also suggests) its name could also be improved (to something more intuitive / less misleading).) ((E.g. to ""share (of area) outside disturbance zone of major technical infrastructure"", or even ""mean distance to nearest technical infrastructure"")) ### n53: INON + N50 does not distiguish between various open ecosystems; data from AR5/AR50 wil be needed, but does not distingush well between subtypes (not at all between natural/semi-natural) ## d.startdate: INON: Vector map. The dataset shows which areas in Norway are not affected by significant technical infrastructure. Infrastructure-free nature is defined as areas which are at least one kilometre away from major technical infrastructure such as roads, large powerlines, railways, and technical interventions in waterways etc (buildings are not included). Modelled, nationwide data based on base maps such as N50. Observations / measurements are made per registration site; each site is 250 m2. ## d.spat.res: used to be 10"
"for";"nb.12";"";"Organisk jordkarbon";"1";"NIBIO";"2024";"1";"fylke/region";"A2";"A2";"af";"p";"mod";"";"mean weight of SOC per hektar";"";"forest soil monitoring startet in 2023, agri soil monitoring (JORDVAAK) is not yet definitely decided; reference level to be decided ### "
"for";"nb.13";"";"C/N-forholdet i jord";"1";"NIBIO";"2024";"1";"fylke/region";"A2";"A2";"af";"u";"mod";"";"weight ratio of C to N";"";"forest soil monitoring startet in 2023, agri soil monitoring (JORDVAAK) is not yet definitely decided; reference level to be decided ### "
"for";"nb.11";"";"Arealandel årlig brent skog";"1";"DSB";;"1";"kommune";"B3";"B3, B2";"fs";"u";"mod";"";"proportion of forest area burnt annually";"";"indicator should be aligned with Mdir/Ldir inidcator framework ### "
"for";"!e.04.2";"";"Tree canopy cover density";"M";"";;;"";"B2";"B2";"";"p";"";"";"Tree canopy cover density";"";"BC: (data) This is the same HRL product (TCD) and essentially the same indicator as in the mandatory forest indicator. I made a few minor corrections in both lines, including harmonising the name. ### "
"for";"e.04.4";"";"Soil organic carbon stock in topsoil";"V";"";;;"";"A2";"A2";"";"p";"";"";"Soil organic carbon stock in topsoil";"";"BC: unit in forests should be the same as in the mandatory indicator
BC: the description of the mandatory indicators says ""Carbon stored between (…) 0 and 2 or more meters can be reported on a voluntary basis"" (--> missing from Table 3) ### "
"for";"!e.04.1";"";"Deadwood";"M";"";;;"";"B2";"B2";"";"p";"";"";"Deadwood";"";" ### "
"for";"e.04.10";"";"Common forest bird index";"V";"";;;"";"B1a";"B1a";"";"p";"";"";"Common forest bird index";"early aggregation (q)";" ### "
"for";"e.04.3";"";"Vegetation water content";"V";"";;;"";"A1";"A1";"";"u";"";"";"Vegetation water content - Normalized difference water index (NDWI) Note that NDWI varies between ecosystem subtypes and an average value may not be meaningful – in these cases the indicator may be assessed by eco-region or subtype";"";"BC: (data) FWIW, similar indices can be produced from several other satellite sensors (e.g. Landsat, Sentinel 2) some with much higher spatial resolution (but shorter time series). ### "
"for";"e.04.5";"";"Species richness of threatened forest birds";"V";"";;;"";"B1b";"B1b";"";"p!!";"";"";"Species richness of threatened forest birds";"quantifies responses (r)";"The proportion of threathened breeding forest bird species of all breeding forest bird species may be a better measure of condition. Different types of forests vary a lot in overall bird species richness. The (local) extinction of a thretened species might mean that this proportion will go down. Will this be recorded as an improvement in condition? 
(unit) The number of threatened species (per se) does not seem to be a good indicator (from a directionality perspective). What would this number indicate? Is it better to have a higher number of threatened species? Or is it or worse? (IMHO it is relatively easy to improve the directionality of this indicator: the number of species with some kind of ""favourable status"" among the species that bred in the given ET (or ET subtype) in 19XX. The calcualtion could be performed separately for each ET subtype (e.g. forest type) if data allow this, and then aggregated for the whole ET (all forest). In countries where there is BD reporting it could be used, in other countries (like NO) other/ national data could be used istead. ((The same goes for the indicators e.5, f.3, h.5 & i.3, which could be harmonised to e.g. ""Share of native bird species in a satisfactory status"" -- where the idea is to ""define"" a meaningful metric without tying the title too closely to either of the two the data source (PECBMS vs Art 12 or its underlying MS data, which is often again PECBMS), but feel free to change the wording.)) ### "
"for";"e.04.6";"";"Ecosystem productivity - Normalized difference vegetation index (NDVI)";"V";"";;;"";"B2";"B2, B3";"";"u";"";"";"Ecosystem productivity - Normalized difference vegetation index (NDVI) Note that NDVI varies between ecosystem subtypes and an average value may not be meaningful – in these cases the indicator may be assessed by eco-region or subtype";"unclear directionality (d)";"BC: Could this be 3-5 for both the NPP(Modis) and the NDVI-based productivity indicators? (And then the MS would choose... and after a few years of experience more cncrete recommendations could be made) ### "
"for";"e.04.7";"";"Ecosystem connectivity";"V";"";;;"";"C1";"C1";"";"p";"";"";"Ecosystem connectivity";"";" ### "
"for";"e.04.8";"";"Landscape naturalness";"V";"";;;"";"C1";"C1";"";"p";"";"";"Landscape naturalness";"";"BC: Is this based on the share of ""natural"" component in the landscape mosaic? An interesting idea for an indicator (I have some questions about the calibration of the metric (window radius, threshold for ""natural area"") and the meaning of the values. But it can stay, at least this option will be explored by some MS. It could probably be recommended for other terrestrial ETs, too. (e.g. wetland, grassland...)
BC: (e.8) the unit and the data source should be the same as that of (f.7) (the current ones seem to belong to another line))) ### "
"for";"e.04.9";"";"Share of forest with uneven-aged structure";"V";"";;;"";"B3";"B3, B1, B2";"";"p";"";"";"Share of forest with uneven-aged structure";"early aggregation (q)";" ### "
"wet";"sk.04, fj.09, vs.29";"";"Fravær av fremmede planter";"2";"MDir";"2020";"3";"fylke/region";"B1a";"B1a";"fs, bm";"p";"abs";"";"A (reversed) cover of alient plants: the indicator is the proportion of the area without such alien species (i.e., 100% - total cover (%) of alien species). The indicator used for in the forest and mountains is different from the one developed for wetlands, semi-natural and naturally open ecosystems. The first one is based on ANO data, while the second one uses mainly nature mapping data and a special stratified aggregation technique.";"";" ### d.temp.res: ALK: The original units are %cover recorded along an ordinal four-step scale. ## d.temp.aggr: ALK: The data series starts in 2018, but the years 2018-2022 are pooled, and then the indicator is either set to represent 2020 or 2022 ## d.spat.res: the full ANO update cycle is 5 years (return period to each sampling site), shorter periods may be possible at the expense of accuracy & spatial/thematic resolution (for a subset of sites sampled in the period) ## r.hea: for historical reasons the indicator is the _inverted cover_ (absence) of invasies, which is thus positive. As the SEEA EA can nicely handle negative indicators, and the _cover_ of invasives gives a simpler & more intuitive indicator, it might make sense to use the simpler version in the future."
"wet";"sk.03, vs.30";"";"Vegetasjon og fuktighet";"2";"MDir, NINA (Anders Kolstad)";"2019";"1";"fylke/region";"A1";"A1, B1a, B1a";"af";"u";"mod";"";"The indicator is the mean ""moisture affinity score"" (Tyler et al. 2021) of the vascular plant species in the ground layer, weighted with the frequency of each species. This is a two-sided indicator where values both lower and higher than the reference value may indicate deviation from good ecological condition. (Previous versions of this indicator used in the forest assessment relied on Ellenberg F scores.)";"";" ### n32: NIBIO: additonal data for n22 & n51 from 3Q ## d.startdate:  _____________ See cell note [[101]]  The cell note will appear in the sidebar if you have the Cell Notes add-on installed and opened.For help see bit.ly/cell_notes ## d.temp.res: Previous versions (skog, fjell...) used the slightly diffferent Ellenberg scales ## d.temp.aggr: ANO data so far only cover samples from 2019+2020 for forests and 2019-2021 for mountains; the first full cycle of data collection will cover 2019-2023; thereafter repeated in 5-yr cycles. This pertains to all ANO-based indicators. ## d.spat.res: the full ANO update cycle is 5 years (return period to each sampling site), shorter periods may be possible at the expense of accuracy & spatial/thematic resolution (for a subset of sites sampled in the period) ## r.hea: Hanno: technically, this metric is divided into two one-sided indicators (one for ""too much..."" and the other one for ""too little..."")"
"wet";"fj.14, vs.04";"";"Vegetasjon og lys";"2";"MDir, NINA (Anders Kolstad)";"2019";"1";"fylke/region";"B3";"B3, B1a, B1a";"fg";"u";"mod";"";"The indicator is the mean ""light affinity score"" (Tyler et al. 2021) of the vascular plant species in the ground layer, weighted with the frequency of each species. This is a two-sided indicator where values both lower and higher than the reference value may indicate deviation from good ecological condition.  (Previous versions of this indicator used in the mountain assessment relied on Ellenberg L scores.)";"unclear directionality (d)";" ### i.name.no: Currently elaborated for mountains (each basic type in NiN's main types T3, T7, T14, T22) ## n32: NIBIO: additonal data for n22 & n51 from 3Q ## d.startdate:  _____________ See cell note [[101]]  The cell note will appear in the sidebar if you have the Cell Notes add-on installed and opened.For help see bit.ly/cell_notes ## d.temp.res: Previous versions (skog, fjell...) used the slightly diffferent Ellenberg scales ## d.temp.aggr: ANO data so far only cover samples from 2019+2020 for forests and 2019-2021 for mountains; the first full cycle of data collection will cover 2019-2023; thereafter repeated in 5-yr cycles. This pertains to all ANO-based indicators. ## d.spat.res: the full ANO update cycle is 5 years (return period to each sampling site), shorter periods may be possible at the expense of accuracy & spatial/thematic resolution (for a subset of sites sampled in the period) ## ect.s2: Balint: This is intentionally B3.  It is true that there are slight geographical differences in the amount of (total) light available to the vegetation (due to climatic and astronomical factors). But this indicator does not measure that one. Instead it measures how much light the ""focal layer"" of vegetation (typically the herbaceous layer) gets due to the closedness of canopy above it. Thus this is B3. ## r.hea: Hanno: technically, this metric is divided into two one-sided indicators (one for ""too much..."" and the other one for ""too little..."")"
"wet";"vs.41";"";"Vegetasjon og pH";"2";"MDir, NINA (Anders Kolstad)";"2019";"1";"fylke/region";"A2";"A2, B1a, B1a";"af";"u";"mod";"";"The indicator is the mean ""acidity affinity score"" (Tyler et al. 2021) of the vascular plant species in the ground layer, weighted with the frequency of each species. This is a two-sided indicator where values both lower and higher than the reference value may indicate deviation from good ecological condition.";"lack of sensitivity (stable) (x), unclear directionality (d)";" ### n32: NIBIO: additonal data for n22 & n51 from 3Q ## d.temp.aggr: ANO data so far only cover samples from 2019+2020 for forests and 2019-2021 for mountains; the first full cycle of data collection will cover 2019-2023; thereafter repeated in 5-yr cycles. This pertains to all ANO-based indicators. ## d.spat.res: the full ANO update cycle is 5 years (return period to each sampling site), shorter periods may be possible at the expense of accuracy & spatial/thematic resolution (for a subset of sites sampled in the period) ## r.hea: Hanno: technically, this metric is divided into two one-sided indicators (one for ""too much..."" and the other one for ""too little..."")"
"wet";"fj.15";"";"Vegetasjonens varmekrav";"1";"MDir, NINA (Anders Kolstad)";"2019";"1";"fylke/region";"A1";"A1, B1a, B1a";"af";"n";"mod";"sjekk om ref.verdier er ok for disse!";"The indicator is the relative cumulative cover of plant species with heat requirements above a specified threshold, based on cover data of all occurring vascular plant species collected in the ANO programme from selected NiN nature types (T3, T7, T14, T22), and values for heat requirements for Swedish plants from Tyler et al. (2021).";"lack of sensitivity (stable) (x), unclear directionality (d)";" ### i.name.no: Currently elaborated for mountains (each basic type in NiN's main types T3, T7, T14, T22) ## d.startdate:  _____________ See cell note [[101]]  The cell note will appear in the sidebar if you have the Cell Notes add-on installed and opened.For help see bit.ly/cell_notes ## d.temp.res: Previous versions (skog, fjell...) used the slightly diffferent Ellenberg scales ## d.temp.aggr: ANO data so far only cover samples from 2019+2020 for forests and 2019-2021 for mountains; the first full cycle of data collection will cover 2019-2023; thereafter repeated in 5-yr cycles. This pertains to all ANO-based indicators. ## d.spat.res: the full ANO update cycle is 5 years (return period to each sampling site), shorter periods may be possible at the expense of accuracy & spatial/thematic resolution (for a subset of sites sampled in the period) ## r.hea: Erik: this is a climate response metric with a unilateral (negative) interpretation, assuming that this a clear climate response and the current trends can go in one direction only"
"wet";"sk.02, fj.13, vs.03";"";"Vegetasjon og nitrogen";"2";"MDir, NINA (Anders Kolstad)";"2019";"1";"fylke/region";"A2";"A2, B1a, B1a";"af";"u";"mod";"";"The indicator is the mean ""nitrogen affinity score"" (Tyler et al. 2021) of the vascular plant species in the ground layer, weighted with the frequency of each species. This is a two-sided indicator where values both lower and higher than the reference value may indicate deviation from good ecological condition.  (Previous versions of this indicator used in the forest & mountain assessments relied on Ellenberg N scores.)";"";"May be correlated with NDVI (productivity). ### n32: NIBIO: additonal data for n22 & n51 from 3Q ## d.startdate:  _____________ See cell note [[101]]  The cell note will appear in the sidebar if you have the Cell Notes add-on installed and opened.For help see bit.ly/cell_notes ## d.temp.res: Previous versions (skog, fjell...) used the slightly diffferent Ellenberg scales ## d.temp.aggr: ANO data so far only cover samples from 2019+2020 for forests and 2019-2021 for mountains; the first full cycle of data collection will cover 2019-2023; thereafter repeated in 5-yr cycles. This pertains to all ANO-based indicators. ## d.spat.res: the full ANO update cycle is 5 years (return period to each sampling site), shorter periods may be possible at the expense of accuracy & spatial/thematic resolution (for a subset of sites sampled in the period) ## r.hea: Hanno: technically, this metric is divided into two one-sided indicators (one for ""too much..."" and the other one for ""too little..."")"
"wet";"vs.64";"";"Slitasje";"2";"NINA (Anders Kolstad)";"2019";"5";"annet";"B3";"B3";"pr";"n";"abs";"";"The indicator represents anthropogenic damage or disturbance to soils and vegetation, typically from recreational activities and off-road vehicles.";"";"The indicator is based on the NiN variables 7TK, PRTK, 7SE and 7SL. Not decided whether this will be included in the final set of indicators. ### n32: NIBIO: Also relevant for n22 due to excessive livestock trampling AK: OK; but livestock trampling is not recorded with the underlying NiN variables ## d.them.scope: ALK: combinations (intersections) between regions and a four-tiered infrastructure index"
"wet";"vs.13";"";"Hekkefugl i våtmark";"1";"NINA (Chloe Nater), BirdLife Norge, Mdir, NIBIO";"2010";"1";"fylke/region";"B1a";"B1a, B1b";"bm";"p";"sta";"";"Aggregated index for birds associated with wetlands";"";"Hanno: It seems to me that vsa.13 and vsa.18 are the same indicator, only for different ecosysstems. I will know more in 2 weeks or so, when the project has delivered code. ### d.startdate: EF: the standard terrestrial bird monitoring (TOV-E) won't provide representative data for this group but BirdLife may have other monitoring data ## d.temp.res: BC: filled in based on the Farmland birds ## d.them.scope: ALK: just two big regions (southern and northern Norway) ## r.dir: If not merged with vs.18! Otherwise ""fo"""
"wet";"fj.12, sk.12, vs.06";"";"Naturindeksprodukt";"2";"MDir & NINA";"1990";"5";"fylke/region";"xx";"xx, B1b";"bm";"p";"na";"";"These indicators are (possibly modified) ecosystem type specific sub-indices of the Norwegian Nature Index. This ""indicator family"" includes several indices proposed in the three NINA assessments (Framstad et al., 2022a,b; Kolstad et al. 2023). The latest work standardised the workflow and the terminology of these 'Nature Index products'.";"composite index (a)";"This indicator does not fully comply with SEEA EA EC accounts (the use of pre-aggregated indices is discouraged) ### n32: EF: the indicator gives a single value for all open lowland (except cropland), not specific for grasland or heathland ## n55: ALK: no data BC: I think NI has the ambition to cover every (semi)nat ET, so hopefully the thematic coverage/representativity will be extendible in the future (the same for n4.2) -- hence 1 ## d.startdate: The Norwegian nature index is based on a broad range of data sources including monitoring data, modelling, and expert assessments, each of which are transformed into individual indicators, and rescaled to a common 0-1 scale (see www.naturindeks.no and Jakobsson & Pedersen 2020). Observations for indicators are made on different levels (municipal – national scale). Standard calculations of the Norwegian Nature Index are done per region, taking differences in area representativeness into account (the indicators are weighted by the area covered by them). ## d.spat.res: was 10 yrs before 2010 ## r.dir: not applicable (multiple)"
"wet";"sk.01, vs.01";"";"Maksimal grønnhet";"2";"NASA*, Copernicus*";"2000";"1";"~100 m";"B2";"B2, B3";"pr";"u";"mdc";"krever mer utvikling og validering";"The indicator is the deviation of the annual maximum NDVI value per MODIS pixel from a modelled ""reference value"" for that pixel. This is a two-sided indicator where values both lower and higher than the reference value may indicate degraded ecosystem condition.";"unclear directionality (d)";"The normalisation (using pixelwise modelled reference states) as explained here is optimised for forests -- adaptation to other ETs might require further research ### n32: EF: NDVI can only be related to aggregated 'open lowland' due to lack of relevant ecosystem maps BC: then the directionality (meaning, relevance) of this var is even more questionable ## n41: BC: I reduced the status for forests due to the apparent need for methodological harmonistaion ## d.startdate:  _____________ See cell note [[103]]  The cell note will appear in the sidebar if you have the Cell Notes add-on installed and opened.For help see bit.ly/cell_notes ## d.spat.scope: the instantaneous NDVI values definitely need some ""intra-annual aggregation"" to get a meaningful EC variable  IndiPri talks about ""annual max values""  TODO: explore & discuss what is being / can be done here"
"wet";"fj.01";"";"NDVI flerårig trend";"1";"NASA*, Copernicus*";"2000";"3";"~100 m";"B2";"B2, B3";"pr, fd";"u";"abs";"??? ikke nevnt i Signes rapport!";"The indicator is the rate of increase in mean NDVI values per pixel for the growing season (June-Sep) over the period 2000-2019";"quantifies change/trend (t)";"This indicator does not fully comply with SEEA EA EC accounts (temporal reference: the value of the indicator should pertain (only) to the reference year/period) ### i.name.no: status is ""3"" for fjell,  but the disaggreagation to the relevant ETs needs better ET maps and further work ## r.hea: NIBIO: any regression deviation from 0 is negativ"
"wet";"vs.05, vs.28";"";"Gjengroing";"2";"NINA (Zander Venter)";"2010";"Inf";"~10 m";"B2";"B2";"fb";"n";"mdc";"data for fremtidige oppdateringer uavklart";"The indicator measures encroachment (tree regrowth) by quantifying vegetation height of (previously) open ecosystems using LIDAR data";"conflated with extent (e)";" ### i.host: There is also a related, less developed indicator in VSA/IndiPri (""Areal uten dekning av vedplanter"", vs.28) ## d.spat.res: Hanno: It is uncertain whether the current implementation (which uses LiDAR data from 2010 to 2021) will be repeated at all. This would require that LiDAR is repeated. Alternatively, different data sources would have to be used in the future (satellite data). ## d.them.scope: The original spatial units are NiN mapping units, which are fine scale polygons (a precision of 5 m to 50 m). (BC: As ""pp"" is typically used for very coarse units (like watersheds), I would suggest that we still put ""g2"" here (to indicate the difference)."
"wet";"fj.11, vs.02";"";"Konnektivitet";"2";"Statens kartverk*/NIBIO";"2020";"Inf";"kommune";"C1";"C1";"lm";"p";"mod";"??? ferdig eller ikke? kommune-oppløsing?";"The indicator is the mean distance from the centre of each mountain area to the nearest infrastructure object (roads, power lines, buildings etc), agricultural area or forest area";"early aggregation (q), other issues (o)";"There are several problems with this variable: it has several unfavourable mathematical properties (numerical instabilities: big response to small changes, number of patches to average may also change), it cannot be linked to the relevant subtypes of mountain ETs, etc. In addition there are problems with the name, and similar (pressure-like) variables are discuraged by SEEA EA.  | Possibly correlated with the indicator of area without technical intervention. ### n53: NIBIO: N50 does not distiguish between various open ecosystems; data from AR5/AR50 wil be needed, but does not distingush well between subtypes (not at all between natural/semi-natural); relevance for EC of n51-n55 should be clarified ## n8a: Hanno: not applied to or tested in water, as far as i know (HS) ## d.temp.aggr: EF: start year for map data is often not clear as previous versions may not be available - and updates have tended to be irregular ## d.spat.res: irregular (currently snapshot)"
"wet";"sk.13, fj.10";"";"Areal uten tekniske inngrep";"3";"MDir*/NIBIO";"1988";"5";"kommune";"C1";"C1";"lm";"p";"abs";"??? bare påtenkt, ikke påbegynt";"The indicator is the proportion of the area of the given ET that is at least 1 km away from major technical infrastructure";"";"NIBIO: may be seen as a reciprocal pressure indicator; INON + N50 does not distinguish between various open ecosystems; not defined for aquatic ecosystems | BC: why not? IMHO if this is a ""reverse pressure"" then it can very well be calculated for freshwater ETs, too. (However: the way how this indicator is calculated could probably be improved, and (as this discussion also suggests) its name could also be improved (to something more intuitive / less misleading).) ((E.g. to ""share (of area) outside disturbance zone of major technical infrastructure"", or even ""mean distance to nearest technical infrastructure"")) ### n53: INON + N50 does not distiguish between various open ecosystems; data from AR5/AR50 wil be needed, but does not distingush well between subtypes (not at all between natural/semi-natural) ## d.startdate: INON: Vector map. The dataset shows which areas in Norway are not affected by significant technical infrastructure. Infrastructure-free nature is defined as areas which are at least one kilometre away from major technical infrastructure such as roads, large powerlines, railways, and technical interventions in waterways etc (buildings are not included). Modelled, nationwide data based on base maps such as N50. Observations / measurements are made per registration site; each site is 250 m2. ## d.spat.res: used to be 10"
"wet";"vs.56";"";"Soil water content during growing sea-son";"1";"";;;;"A1";"A1";"af";"na";"";"";"";"";" ### "
"wet";"fj.18, v.27";"";"Snødekkets varighet";"3";"Senorge*";"1960";"5";"~1 km";"A1";"A1";"af";"p";"sta";"";"The indicator is the mean number of days with snow cover during October-June for the last 5 yrs, calculated as the deviation form the values of the same metric for the normal period 1961-1990, based on interpolated observations and terrain modelling by Senorge.";"lack of sensitivity (stable) (x)";"BC: This indicator does not fully comply with SEEA EA EC accounts (climatic variables are discouraged), in addition the three variables on winter precipitation might be slightly redundant ### i.name.no: status is ""1"" for fjell,  but the disaggreagation to the relevant ETs needs better ET maps and further work ## n53: IndiPri assigns this to våtmark & seminat (& not åpent) ## n71: BC: mountain SVL only ## ect.s2: BC: may be seen as out of ECT (""ancillary data"")"
"wet";"e.07.1";"";"Share and area influenced by drainage";"V";"";;;"";"A1";"A1";"";"n";"";"";"Share and area of inland wetlands area influenced by drainage (i.e., where water table is reduced because of drainage).";"";" ### "
"wet";"e.07.2";"";"Percentage wetland birds with increasing or stable population trends";"V";"";;;"";"B1b";"B1b";"";"p!!";"";"";"Percentage wetland birds with increasing or stable population trends";"early aggregation (q)";"BC: (i.3) this (i.3) should probably be in the other coastal ET (l.3?) (+see above) ### "
"frw";"fj.12, sk.12, vs.06";"";"Naturindeksprodukt";"1";"MDir & NINA";"1990";"5";"fylke/region";"xx";"xx, B1b";"bm";"p";"na";"";"These indicators are (possibly modified) ecosystem type specific sub-indices of the Norwegian Nature Index. This ""indicator family"" includes several indices proposed in the three NINA assessments (Framstad et al., 2022a,b; Kolstad et al. 2023). The latest work standardised the workflow and the terminology of these 'Nature Index products'.";"composite index (a)";"This indicator does not fully comply with SEEA EA EC accounts (the use of pre-aggregated indices is discouraged) ### n32: EF: the indicator gives a single value for all open lowland (except cropland), not specific for grasland or heathland ## n55: ALK: no data BC: I think NI has the ambition to cover every (semi)nat ET, so hopefully the thematic coverage/representativity will be extendible in the future (the same for n4.2) -- hence 1 ## d.startdate: The Norwegian nature index is based on a broad range of data sources including monitoring data, modelling, and expert assessments, each of which are transformed into individual indicators, and rescaled to a common 0-1 scale (see www.naturindeks.no and Jakobsson & Pedersen 2020). Observations for indicators are made on different levels (municipal – national scale). Standard calculations of the Norwegian Nature Index are done per region, taking differences in area representativeness into account (the indicators are weighted by the area covered by them). ## d.spat.res: was 10 yrs before 2010 ## r.dir: not applicable (multiple)"
"frw";"QMIN";"e";"Minimum 7-døgns middelvannføring, sommer og vinter";"2";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A1";"A1, B3";"af";"p";"exp";"Ingen data i Vannmiljø";"There are two separate indicators that cover the water flow regime in summer and winter, respectively. The minimum 7-day average flow for a regulated river is compared with natural flow (river without water-flow regulations). Supporting element - hydromorphology.";"unclear sp./temp. ref. (n)";"Scaled value (EQR) or normalized scaled value (nEQR). Index value=EQR ### d.spat.res: May vary from 1 to 6 (12?) for time-series datasets, or even continuous mearsurements  ## d.them.scope: Water-bodies in rivers (streches of approx 5 km)"
"frw";"VANNSTVAR";"i";"Reguleringshøyde";"2";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A1";"A1, B3";"af";"n";"exp";"Ingen data i Vannmiljø";"The indicator is a measure of the difference between the lowest and the highest water level in a regulated lake (water magazine). Supporting element - hydromorphology.";"unclear directionality (d)";"True index value in Vannmiljø, can calculate EQR and nEQR ### d.spat.res: May vary from 1 to 6 (12?) for time-series datasets, or even continuous mearsurements  ## d.them.scope: Lakes"
"frw";"HR2XSD";"i";"Forholdet mellom reguleringshøyde og siktedyp";"2";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A1";"A1, B3";"af";"n";"exp";"Ingen data tilgjengelig";"The indicator is a measure of the difference between the lowest and the highest water level in a regulated lake (water magazine) and how this is related to Secchi-depth. Supporting element - hydromorphology.";"";"True index value in Vannmiljø, can calculate EQR and nEQR ### d.spat.res: May vary from 1 to 6 (12?) for time-series datasets, or even continuous mearsurements  ## d.them.scope: Lakes"
"frw";"SECCI";"i";"Siktedyp";"2";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A1";"A1, A2, B3";"af";"p";"mdc";"For få datapunkt";"A simple measure of water transparency used as a physico-chemical supporting element for eutrophication/organic pollution. Reference-values calculated from Chlorophyll a (phytoplankton biomass) adjusted by humic content in lakes (Pt/lL). One of three parameters used for assessment of eutrophication in lakes (status is based on mean nEQR if all indices are calculated).";"";"True index value in Vannmiljø, can calculate EQR and nEQR ### d.spat.res: May vary from 1 to 6 (12?) for time-series datasets. Assessment based on monthly sampling occations during years with monitoring.  ## d.them.scope: lakes, coastal water-bodies"
"frw";"P-TOT";"e i";"Totalt fosfor (Tot-P)";"2";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"A2";"af";"n";"mdc";"";"All phosphorus nutrients. Physico-chemical supporting element for eutrophication. One of three parameters used for assessment of eutrophication in lakes & rivers. Reference-values and class-boundaries based on the correlation with phytoplankton biomass (coastal case: Molvær et al. 1997).";"";"True index value in Vannmiljø, can calculate EQR and nEQR ### d.spat.res: May vary from 1 to 6 (12?) for time-series datasets. Assessment based on monthly sampling occations during years with monitoring.  ## d.them.scope: Water-bodies in rivers (streches of approx 5 km); lakes; coastal water bodies"
"frw";"N-TOT";"e i";"Totalt nitrogen (Tot-N)";"2";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"A2";"af";"n";"mdc";"";"All nitrogen nutrients. Physico-chemical supporting element for eutrophication. Reference-values and class-boundaries based on the correlation with phytoplankton biomass. One of three parameters used for assessment of eutrophication in lakes & rivers.";"";"Only applicable for rivers/lakes where P:N relationship indicate N-limitation. True index value in Vannmiljø, can calculate EQR and nEQR. ### d.spat.res: May vary from 1 to 6 (12?) for time-series datasets. Assessment based on one sampling occation during years with monitoring.  ## d.them.scope: Water-bodies in rivers (streches of approx 5 km); lakes; coastal water bodies"
"frw";"N-NH4, N-NH3";"e i";"Ammoniakk og ammonium";"2";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"A2";"af";"n";"mdc";"";"Physico-chemical supporting element, two different parmeters. For coastal only NH4 is used in the WFD with reference-values from Molvær et al (1997).";"";"True index value in Vannmiljø, can calculate EQR and nEQR ### d.spat.res: May vary from 1 to 6 (12?) for time-series datasets. Assessment based on monthly sampling occations during years with monitoring.  ## d.them.scope: Water-bodies in rivers (streches of approx 5 km), respectively Lakes"
"frw";"O2, O-METN";"e i";"Oksygenkonsentrasjon";"2";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"A2";"af";"p";"exp";"For få datapunkt";"Oxygen in deepwater. Physico-chemical supporting element for eutrophication/organic load for eutrophication/organic load, that can be measured in two different ways (two parmeters). Reference-values and class-boundaries in coastal waters are described by Diaz & Rosenberg (1995) and Kirkerud (1998). Measurements must be carried out in the period one expect the lowest concentrations, but should be done monthly until there is enough information on when to do the sampling. Deeper areas are selected for sampling, but it is important that it is linked to the sampling of the biological quality element ""Soft bottom fauna"".";"";"True index value in Vannmiljø, can calculate EQR and nEQR ### d.spat.res: May vary from 1 to 6 (12?) for time-series datasets, or even continuous mearsurements  ## d.them.scope: Water-bodies in rivers (streches of approx 5 km); lakes; coastal water bodies"
"frw";"PH";"e i";"pH";"2";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"A2";"af";"p";"mdc";"";"Physico-chemical supporting element for acidification.  Reference-value and class-boundaries based on the correlation with acid-sensitive invertbrates. One of three parameters used for assessment of acidification (status is based on mean nEQR if all indices are calculated).";"";"True index value in Vannmiljø, can calculate EQR and nEQR ### d.spat.res: May vary from 1 to 6 (12?) for time-series datasets, or even continuous mearsurements  ## d.them.scope: Water-bodies in rivers (streches of approx 5 km), respectively Lakes"
